@timestamp,@message
2019-12-06 21:10:08.379,"JOB_ID 8361575666604-3832452, RequestId: 64268606-1968-5de8-a39d-d062dcb3c4e4, BatchSize: 1
"
2019-12-06 21:10:08.381,"REPORT RequestId: 64268606-1968-5de8-a39d-d062dcb3c4e4	Duration: 1332.83 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 183.82 ms	
"
2019-12-06 21:10:08.611,"REPORT RequestId: df07b4bf-037c-5f07-be01-e2dbc691abf6	Duration: 1302.19 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 180.38 ms	
"
2019-12-06 21:10:08.611,"JOB_ID 5491575666604-7326205, RequestId: df07b4bf-037c-5f07-be01-e2dbc691abf6, BatchSize: 1
"
2019-12-06 21:10:08.853,"JOB_ID 9671575666604-3765566, RequestId: 192d99bd-a8fd-5eb7-bbeb-cfd96d106d05, BatchSize: 1
"
2019-12-06 21:10:08.894,"REPORT RequestId: 192d99bd-a8fd-5eb7-bbeb-cfd96d106d05	Duration: 1408.85 ms	Billed Duration: 1500 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 183.15 ms	
"
2019-12-06 21:10:08.936,"JOB_ID 7931575666605-04693, RequestId: 922df256-06e9-58ea-96fc-a432c304ac33, BatchSize: 1
"
2019-12-06 21:10:08.938,"REPORT RequestId: 922df256-06e9-58ea-96fc-a432c304ac33	Duration: 1375.40 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 186.25 ms	
"
2019-12-06 21:10:08.941,"JOB_ID 3051575666605-03849, RequestId: 303c1d9f-cfb0-5572-b584-4bfb0a6b4340, BatchSize: 2
"
2019-12-06 21:10:09.023,"JOB_ID 7911575666605-028931, RequestId: 303c1d9f-cfb0-5572-b584-4bfb0a6b4340, BatchSize: 2
"
2019-12-06 21:10:09.061,"REPORT RequestId: 303c1d9f-cfb0-5572-b584-4bfb0a6b4340	Duration: 1427.71 ms	Billed Duration: 1500 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 186.03 ms	
"
2019-12-06 21:10:09.783,"JOB_ID 5441575666605-158731, RequestId: 5e6f6b48-75b4-5011-99ed-3d2cb045c91d, BatchSize: 4
"
2019-12-06 21:10:09.862,"JOB_ID 9241575666605-1685314, RequestId: 5e6f6b48-75b4-5011-99ed-3d2cb045c91d, BatchSize: 4
"
2019-12-06 21:10:09.943,"JOB_ID 5291575666605-5049806, RequestId: 5e6f6b48-75b4-5011-99ed-3d2cb045c91d, BatchSize: 4
"
2019-12-06 21:10:10.022,"JOB_ID 4861575666605-36587, RequestId: 5e6f6b48-75b4-5011-99ed-3d2cb045c91d, BatchSize: 4
"
2019-12-06 21:10:10.024,"REPORT RequestId: 5e6f6b48-75b4-5011-99ed-3d2cb045c91d	Duration: 479.17 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:10.097,"JOB_ID 9741575666607-7867653, RequestId: 00653c45-32af-5294-94cd-6a21f75e3665, BatchSize: 1
"
2019-12-06 21:10:10.099,"REPORT RequestId: 00653c45-32af-5294-94cd-6a21f75e3665	Duration: 260.01 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:10.418,"JOB_ID 5521575666605-0721245, RequestId: a6fb51c7-f9f7-5ee0-a788-07a33c05aa39, BatchSize: 3
"
2019-12-06 21:10:10.463,"JOB_ID 2301575666607-115711, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.497,"JOB_ID 9781575666605-9603138, RequestId: a6fb51c7-f9f7-5ee0-a788-07a33c05aa39, BatchSize: 3
"
2019-12-06 21:10:10.543,"JOB_ID 731575666605-1715994, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.553,"JOB_ID 961575666604-3647697, RequestId: 06996211-139a-55cd-9572-3475d6685cc1, BatchSize: 3
"
2019-12-06 21:10:10.578,"JOB_ID 8401575666605-2146864, RequestId: a6fb51c7-f9f7-5ee0-a788-07a33c05aa39, BatchSize: 3
"
2019-12-06 21:10:10.579,"REPORT RequestId: a6fb51c7-f9f7-5ee0-a788-07a33c05aa39	Duration: 425.44 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:10.613,"JOB_ID 7291575666606-0567083, RequestId: fbdd57c2-4786-5f01-aeff-01a682748933, BatchSize: 1
"
2019-12-06 21:10:10.614,"REPORT RequestId: fbdd57c2-4786-5f01-aeff-01a682748933	Duration: 224.96 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:10.623,"JOB_ID 5341575666607-3553438, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.635,"JOB_ID 1671575666605-4263017, RequestId: 06996211-139a-55cd-9572-3475d6685cc1, BatchSize: 3
"
2019-12-06 21:10:10.703,"JOB_ID 5511575666606-7188325, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.715,"JOB_ID 6181575666606-4819903, RequestId: 06996211-139a-55cd-9572-3475d6685cc1, BatchSize: 3
"
2019-12-06 21:10:10.716,"REPORT RequestId: 06996211-139a-55cd-9572-3475d6685cc1	Duration: 407.98 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:10.783,"JOB_ID 8681575666605-5323076, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.863,"JOB_ID 4031575666607-7752376, RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3, BatchSize: 6
"
2019-12-06 21:10:10.864,"REPORT RequestId: 77c59ffa-5d67-5671-aa5d-c99e9895f5c3	Duration: 646.95 ms	Billed Duration: 700 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:10.953,"JOB_ID 6641575666608-3753026, RequestId: 4cfb71d3-4604-53cb-8ca8-27b783f6773a, BatchSize: 1
"
2019-12-06 21:10:10.954,"REPORT RequestId: 4cfb71d3-4604-53cb-8ca8-27b783f6773a	Duration: 234.43 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:11.033,"JOB_ID 6781575666608-7032354, RequestId: d58d7372-b3ed-5ba1-af03-2516761f22ad, BatchSize: 1
"
2019-12-06 21:10:11.054,"REPORT RequestId: d58d7372-b3ed-5ba1-af03-2516761f22ad	Duration: 269.57 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:11.253,"JOB_ID 5461575666609-2624135, RequestId: 71f9e1a7-b6f3-55f1-901f-b7c37301b128, BatchSize: 1
"
2019-12-06 21:10:11.254,"REPORT RequestId: 71f9e1a7-b6f3-55f1-901f-b7c37301b128	Duration: 277.15 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.283,"JOB_ID 421575666605-4588757, RequestId: 061edc71-9456-5171-add5-8a1551a552c3, BatchSize: 2
"
2019-12-06 21:10:11.375,"JOB_ID 9571575666608-7645202, RequestId: ea7f92c6-7ac6-5b90-ab73-c4a2bf35329c, BatchSize: 1
"
2019-12-06 21:10:11.377,"REPORT RequestId: ea7f92c6-7ac6-5b90-ab73-c4a2bf35329c	Duration: 246.57 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.381,"JOB_ID 201575666610-215006, RequestId: 061edc71-9456-5171-add5-8a1551a552c3, BatchSize: 2
"
2019-12-06 21:10:11.402,"REPORT RequestId: 061edc71-9456-5171-add5-8a1551a552c3	Duration: 346.59 ms	Billed Duration: 400 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.538,"JOB_ID 6981575666609-9942575, RequestId: 4e4199cc-9c30-52f6-910b-cfa859c30bfa, BatchSize: 1
"
2019-12-06 21:10:11.539,"REPORT RequestId: 4e4199cc-9c30-52f6-910b-cfa859c30bfa	Duration: 238.06 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.552,"JOB_ID 4231575666608-3140278, RequestId: c2cfde6f-5f9b-5acd-ad2a-880b9a68ccff, BatchSize: 1
"
2019-12-06 21:10:11.553,"REPORT RequestId: c2cfde6f-5f9b-5acd-ad2a-880b9a68ccff	Duration: 250.34 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.577,"JOB_ID 2391575666606-9391742, RequestId: dea78f7f-e1cb-53a9-8005-d91b24382758, BatchSize: 1
"
2019-12-06 21:10:11.615,"REPORT RequestId: dea78f7f-e1cb-53a9-8005-d91b24382758	Duration: 261.44 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:11.663,"JOB_ID 631575666609-0556242, RequestId: dce998cb-09df-5444-a69f-ceafcc2c95b5, BatchSize: 1
"
2019-12-06 21:10:11.664,"REPORT RequestId: dce998cb-09df-5444-a69f-ceafcc2c95b5	Duration: 212.63 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.735,"JOB_ID 2071575666610-3570619, RequestId: 47d86a70-51ec-55f9-87aa-3c14941f1408, BatchSize: 1
"
2019-12-06 21:10:11.737,"REPORT RequestId: 47d86a70-51ec-55f9-87aa-3c14941f1408	Duration: 238.82 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:11.895,"JOB_ID 4541575666608-0137713, RequestId: ba5cb565-5479-5f93-beac-e301918a1b62, BatchSize: 1
"
2019-12-06 21:10:11.916,"REPORT RequestId: ba5cb565-5479-5f93-beac-e301918a1b62	Duration: 272.09 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	
"
2019-12-06 21:10:12.035,"JOB_ID 711575666609-5244744, RequestId: 5272bde0-f459-5251-95c5-eb8431aa2020, BatchSize: 1
"
2019-12-06 21:10:12.036,"REPORT RequestId: 5272bde0-f459-5251-95c5-eb8431aa2020	Duration: 273.52 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:12.101,"JOB_ID 2561575666611-2814834, RequestId: e5d5e00b-e106-5b6c-8c7e-b66f24f5fa9d, BatchSize: 1
"
2019-12-06 21:10:12.102,"REPORT RequestId: e5d5e00b-e106-5b6c-8c7e-b66f24f5fa9d	Duration: 256.49 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:12.176,"JOB_ID 1601575666608-4115164, RequestId: 9d39ccc4-5b20-525b-a1f0-9aa09ed36469, BatchSize: 1
"
2019-12-06 21:10:12.178,"REPORT RequestId: 9d39ccc4-5b20-525b-a1f0-9aa09ed36469	Duration: 228.66 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:12.197,"JOB_ID 9421575666609-2149324, RequestId: b6b50beb-316d-5da7-921f-5d8ff49e94ab, BatchSize: 1
"
2019-12-06 21:10:12.199,"REPORT RequestId: b6b50beb-316d-5da7-921f-5d8ff49e94ab	Duration: 231.35 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:12.226,"JOB_ID 4821575666611-413558, RequestId: 7530a7e2-470c-56dd-a7eb-f18682ff356f, BatchSize: 1
"
2019-12-06 21:10:12.228,"REPORT RequestId: 7530a7e2-470c-56dd-a7eb-f18682ff356f	Duration: 243.01 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-12-06 21:10:12.511,"JOB_ID 2231575666609-036406, RequestId: 80cc186d-e0a4-5a3a-abd3-4e0925574ee3, BatchSize: 1
"
