@timestamp,@message
2019-12-06 21:10:06.757,"JOB_ID 8361575666604-3832452, RequestId: 409b1cda-1990-5ffb-a1fa-4abedc4a49c9, BatchSize: 3
"
2019-12-06 21:10:07.039,"JOB_ID 5491575666604-7326205, RequestId: 5df86254-8bd0-5ba2-80c2-34304e3b3f4c, BatchSize: 1
"
2019-12-06 21:10:07.040,"REPORT RequestId: 5df86254-8bd0-5ba2-80c2-34304e3b3f4c	Duration: 1684.96 ms	Billed Duration: 1700 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	Init Duration: 190.63 ms	
"
2019-12-06 21:10:07.276,"JOB_ID 3051575666605-03849, RequestId: f96b91c9-0b5e-5c40-9a57-c7adce84bcd9, BatchSize: 1
"
2019-12-06 21:10:07.299,"JOB_ID 7931575666605-04693, RequestId: 596874f9-5834-5174-b83b-229d9ded0f0e, BatchSize: 2
"
2019-12-06 21:10:07.302,"JOB_ID 7911575666605-028931, RequestId: 772af0fb-1620-56ac-9597-a69fd3fa4d9a, BatchSize: 1
"
2019-12-06 21:10:07.303,"REPORT RequestId: 772af0fb-1620-56ac-9597-a69fd3fa4d9a	Duration: 1682.76 ms	Billed Duration: 1700 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 180.48 ms	
"
2019-12-06 21:10:07.316,"REPORT RequestId: f96b91c9-0b5e-5c40-9a57-c7adce84bcd9	Duration: 1664.99 ms	Billed Duration: 1700 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	Init Duration: 202.62 ms	
"
2019-12-06 21:10:07.337,"JOB_ID 9671575666604-3765566, RequestId: 409b1cda-1990-5ffb-a1fa-4abedc4a49c9, BatchSize: 3
"
2019-12-06 21:10:07.623,"JOB_ID 5521575666605-0721245, RequestId: 596874f9-5834-5174-b83b-229d9ded0f0e, BatchSize: 2
"
2019-12-06 21:10:07.641,"REPORT RequestId: 596874f9-5834-5174-b83b-229d9ded0f0e	Duration: 1982.62 ms	Billed Duration: 2000 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 184.83 ms	
"
2019-12-06 21:10:07.643,"JOB_ID 961575666604-3647697, RequestId: 409b1cda-1990-5ffb-a1fa-4abedc4a49c9, BatchSize: 3
"
2019-12-06 21:10:07.676,"REPORT RequestId: 409b1cda-1990-5ffb-a1fa-4abedc4a49c9	Duration: 2576.73 ms	Billed Duration: 2600 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 180.18 ms	
"
2019-12-06 21:10:08.208,"JOB_ID 5441575666605-158731, RequestId: 80360ee5-62bb-56e1-af55-5881a754e20f, BatchSize: 3
"
2019-12-06 21:10:08.482,"JOB_ID 9781575666605-9603138, RequestId: 722e8354-742b-5d67-aa3b-d530b1c49b55, BatchSize: 1
"
2019-12-06 21:10:08.517,"JOB_ID 5291575666605-5049806, RequestId: 80360ee5-62bb-56e1-af55-5881a754e20f, BatchSize: 3
"
2019-12-06 21:10:08.522,"REPORT RequestId: 722e8354-742b-5d67-aa3b-d530b1c49b55	Duration: 740.28 ms	Billed Duration: 800 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-12-06 21:10:08.640,"JOB_ID 9241575666605-1685314, RequestId: 1a5413ba-9e90-530c-8215-45de5b601d76, BatchSize: 6
"
2019-12-06 21:10:08.827,"JOB_ID 731575666605-1715994, RequestId: 1a87d61b-9106-573c-b5cc-807f54f697a5, BatchSize: 3
"
2019-12-06 21:10:08.835,"JOB_ID 6181575666606-4819903, RequestId: 80360ee5-62bb-56e1-af55-5881a754e20f, BatchSize: 3
"
2019-12-06 21:10:08.835,"REPORT RequestId: 80360ee5-62bb-56e1-af55-5881a754e20f	Duration: 1102.86 ms	Billed Duration: 1200 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-12-06 21:10:08.858,"JOB_ID 1671575666605-4263017, RequestId: f0bdfc21-3566-58ab-b712-aa45f096939d, BatchSize: 3
"
2019-12-06 21:10:08.962,"JOB_ID 8401575666605-2146864, RequestId: 1a5413ba-9e90-530c-8215-45de5b601d76, BatchSize: 6
"
2019-12-06 21:10:09.137,"JOB_ID 5341575666607-3553438, RequestId: 1a87d61b-9106-573c-b5cc-807f54f697a5, BatchSize: 3
"
2019-12-06 21:10:09.281,"JOB_ID 4861575666605-36587, RequestId: 1a5413ba-9e90-530c-8215-45de5b601d76, BatchSize: 6
"
2019-12-06 21:10:09.399,"JOB_ID 5511575666606-7188325, RequestId: f0bdfc21-3566-58ab-b712-aa45f096939d, BatchSize: 3
"
2019-12-06 21:10:09.437,"JOB_ID 9741575666607-7867653, RequestId: 1a87d61b-9106-573c-b5cc-807f54f697a5, BatchSize: 3
"
2019-12-06 21:10:09.476,"REPORT RequestId: 1a87d61b-9106-573c-b5cc-807f54f697a5	Duration: 1072.67 ms	Billed Duration: 1100 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-12-06 21:10:09.602,"JOB_ID 8681575666605-5323076, RequestId: 1a5413ba-9e90-530c-8215-45de5b601d76, BatchSize: 6
"
2019-12-06 21:10:09.719,"JOB_ID 4031575666607-7752376, RequestId: f0bdfc21-3566-58ab-b712-aa45f096939d, BatchSize: 3
"
2019-12-06 21:10:09.720,"REPORT RequestId: f0bdfc21-3566-58ab-b712-aa45f096939d	Duration: 1323.15 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-12-06 21:10:09.922,"JOB_ID 7291575666606-0567083, RequestId: 1a5413ba-9e90-530c-8215-45de5b601d76, BatchSize: 6
"
