@timestamp,@message
2019-12-06 21:10:25.009,"JOB_ID 4231575666608-3140278, RequestId: d432f966-a75e-5da3-8d33-af0262ac02d7, BatchSize: 1
"
2019-12-06 21:10:25.069,"REPORT RequestId: d432f966-a75e-5da3-8d33-af0262ac02d7	Duration: 12474.28 ms	Billed Duration: 12500 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	Init Duration: 192.01 ms	
"
2019-12-06 21:10:25.418,"JOB_ID 8851575666613-465231, RequestId: 1f8242e5-cdb6-5e13-8d55-148108471c5c, BatchSize: 1
"
2019-12-06 21:10:25.476,"REPORT RequestId: 1f8242e5-cdb6-5e13-8d55-148108471c5c	Duration: 10068.29 ms	Billed Duration: 10100 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	Init Duration: 185.53 ms	
"
2019-12-06 21:10:31.403,"JOB_ID 15511575666622-8837962, RequestId: b8410865-3b8a-54a7-be0b-5e01fe7f4c1e, BatchSize: 1
"
2019-12-06 21:10:31.468,"REPORT RequestId: b8410865-3b8a-54a7-be0b-5e01fe7f4c1e	Duration: 6832.91 ms	Billed Duration: 6900 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	Init Duration: 180.14 ms	
"
2019-12-06 21:10:32.606,"JOB_ID 17681575666621-203428, RequestId: daa646e8-2d3e-5a63-9413-108ce8cf8ef3, BatchSize: 1
"
2019-12-06 21:10:32.664,"REPORT RequestId: daa646e8-2d3e-5a63-9413-108ce8cf8ef3	Duration: 9563.57 ms	Billed Duration: 9600 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 188.94 ms	
"
2019-12-06 21:10:35.913,"JOB_ID 19491575666629-6979496, RequestId: 1da26253-bbc9-5c41-8ad8-34377dc82335, BatchSize: 1
"
2019-12-06 21:10:35.968,"REPORT RequestId: 1da26253-bbc9-5c41-8ad8-34377dc82335	Duration: 4447.61 ms	Billed Duration: 4500 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
2019-12-06 21:10:36.177,"JOB_ID 381575666624-6292107, RequestId: 0af51955-dad4-5209-bf24-4f311f299e90, BatchSize: 1
"
2019-12-06 21:10:36.180,"REPORT RequestId: 0af51955-dad4-5209-bf24-4f311f299e90	Duration: 10263.86 ms	Billed Duration: 10300 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
2019-12-06 21:10:43.777,"JOB_ID 6761575666636-6225035, RequestId: 27c854ad-5227-5b82-a04b-02c997da69cd, BatchSize: 1
"
