"","TS","Job_ID","Duration"
"1","1574086518"," 51574090113-1871357,","3087.28"
"2","1574086518"," 351574090113-5924733,","3122.62"
"3","1574086518"," 231574090113-5921452,","3121.95"
"4","1574086518"," 511574090113-5639186,","3163.83"
"5","1574086522"," 671574090113-171249,","6786.7"
"6","1574086518"," 911574090113-1973522,","3714.09"
"7","1574086518"," 501574090114-8699577,","3129.89"
"8","1574086519"," 531574090116-7643204,","1878.09"
"9","1574086522"," 901574090115-303689,","5882"
"10","1574086519"," 721574090117-511251,","1812.14"
"11","1574086520"," 831574090115-9567406,","3240.84"
"12","1574086519"," 201574090118-1914477,","801.31"
"13","1574086522"," 891574090121-1511102,","740.84"
"14","1574086522"," 271574090121-1531582,","749.27"
"15","1574086523"," 571574090122-414946,","734.75"
"16","1574086523"," 761574090122-4362462,","760.92"
"17","1574086526"," 551574090125-4031081,","720.53"
"18","1574086528"," 661574090127-2927608,","722.18"
"19","1574086530"," 941574090129-4097435,","726.66"
"20","1574086531"," 431574090130-2640934,","744.45"
"21","1574086531"," 211574090130-27823,","741.9"
"22","1574086531"," 401574090130-7567818,","724.28"
"23","1574086532"," 961574090131-4341412,","740.64"
"24","1574086534"," 121574090133-257662,","735.63"
"25","1574086535"," 71574090134-684219,","704.6"
"26","1574086537"," 691574090136-5820243,","755.15"
"27","1574086538"," 641574090137-4222023,","754.45"
"28","1574086542"," 601574090141-4285386,","707.01"
"29","1574086542"," 321574090141-4336839,","809.87"
"30","1574086546"," 781574090146-050422,","693.14"
"31","1574086546"," 281574090146-0500963,","729.49"
"32","1574086547"," 161574090146-5645237,","960.8"
"33","1574086548"," 381574090147-7064564,","717.14"
"34","1574086548"," 861574090147-913524,","752.73"
"35","1574086549"," 711574090148-3565931,","1014.02"
"36","1574086550"," 481574090149-4076269,","735.72"
"37","1574086552"," 811574090151-4232495,","740.27"
"38","1574086552"," 701574090151-6344545,","750.87"
"39","1574086554"," 921574090153-4540777,","745.33"
"40","1574086556"," 251574090155-681903,","702.43"
"41","1574086556"," 771574090155-9254074,","737.55"
"42","1574086559"," 131574090158-6835246,","709.85"
"43","1574086559"," 361574090158-6442606,","771.24"
"44","1574086562"," 371574090161-5756629,","741.36"
"45","1574086562"," 951574090161-575495,","948.78"
"46","1574086563"," 151574090162-7614775,","766.15"
"47","1574086566"," 271574090162-3105514,","2384.95"
"48","1574086565"," 731574090164-4630773,","749.79"
"49","1574086565"," 611574090164-8077967,","745.33"
"50","1574086565"," 491574090164-9684355,","774.34"
"51","1574086567"," 391574090166-1906111,","992.35"
"52","1574086569"," 311574090168-7041256,","783.48"
"53","1574086572"," 861574090171-679371,","1259.99"
"54","1574086575"," 841574090173-9379983,","1444.82"
"55","1574086577"," 991574090176-2558985,","727.64"
"56","1574086578"," 741574090177-5632598,","787.89"
"57","1574086580"," 141574090177-7982638,","2550.78"
"58","1574086582"," 651574090180-9172716,","1301.04"
"59","1574086582"," 871574090181-3332648,","775.07"
"60","1574086584"," 631574090183-469877,","811.48"
"61","1574086584"," 981574090183-6491961,","794.15"
"62","1574086586"," 21574090185-3458323,","745.42"
"63","1574086587"," 261574090187-0116744,","779.15"
"64","1574086588"," 91574090187-9608889,","715.5"
"65","1574086588"," 111574090188-2164752,","735.69"
"66","1574086590"," 521574090189-320892,","738.01"
"67","1574086590"," 191574090189-492613,","788.58"
"68","1574086590"," 461574090190-0064025,","761.16"
"69","1574086591"," 331574090190-9622076,","775.92"
"70","1574086595"," 81574090194-3901074,","773.25"
"71","1574086596"," 101574090194-8844106,","1263.33"
"72","1574086596"," 61574090195-3022141,","730.57"
"73","1574086597"," 581574090196-5606093,","765.72"
"74","1574086597"," 851574090196-5988438,","778.42"
"75","1574086603"," 551574090201-8181078,","1312.88"
"76","1574086606"," 671574090204-6747534,","1786.13"
"77","1574086607"," 801574090206-290943,","758.6"
"78","1574086607"," 561574090206-286051,","749.34"
"79","1574086607"," 341574090206-8282797,","724.55"
"80","1574086608"," 411574090207-7320948,","738.04"
"81","1574086609"," 541574090208-6664815,","737"
