"","TS","Job_ID","Duration"
"1","1574416637"," 751574420233-1236808,","1387.52"
"2","1574416637"," 7341574420233-124872,","1395.95"
"3","1574416637"," 2801574420233-46161,","1367.94"
"4","1574416637"," 1721574420233-4723876,","1420.19"
"5","1574416637"," 5161574420235-558362,","228.03"
"6","1574416637"," 3541574420234-675159,","307.56"
"7","1574416637"," 121574420235-3260293,","236.91"
"8","1574416637"," 9731574420235-2579217,","276.48"
"9","1574416638"," 8161574420234-2150717,","239.99"
"10","1574416638"," 5501574420233-514663,","1365.12"
"11","1574416638"," 3251574420234-1405241,","1367.52"
"12","1574416638"," 6721574420236-0660856,","253.07"
"13","1574416638"," 8261574420235-790705,","252.9"
"14","1574416638"," 2821574420235-833186,","236.58"
"15","1574416638"," 6431574420237-472219,","238.6"
"16","1574416638"," 351574420235-4172509,","262.74"
"17","1574416638"," 6011574420234-8781364,","1369.13"
"18","1574416638"," 7481574420236-789722,","314.08"
"19","1574416638"," 5561574420234-7440739,","1319.5"
"20","1574416638"," 2081574420237-947777,","244.68"
"21","1574416639"," 9181574420234-3387163,","1406.18"
"22","1574416639"," 6101574420238-0797696,","295.96"
"23","1574416639"," 1991574420235-8833694,","255.79"
"24","1574416639"," 9131574420237-503084,","310.18"
"25","1574416639"," 5601574420238-5012462,","255.67"
"26","1574416639"," 4811574420238-640783,","238.77"
"27","1574416639"," 9461574420236-3439572,","241.24"
"28","1574416639"," 6311574420236-8804612,","236.95"
"29","1574416639"," 161574420236-9467754,","257.96"
"30","1574416639"," 4441574420237-5131226,","238.22"
"31","1574416640"," 9291574420237-7338223,","274.11"
"32","1574416640"," 1381574420239-1590471,","255.17"
"33","1574416640"," 7861574420236-86126,","254.55"
"34","1574416640"," 3841574420239-3521364,","251.13"
"35","1574416640"," 4161574420237-9695442,","233.04"
"36","1574416640"," 3021574420236-7408671,","270.86"
"37","1574416640"," 5061574420239-6347241,","280.92"
"38","1574416640"," 9651574420239-6982994,","307.91"
"39","1574416640"," 8601574420239-7686083,","248.6"
"40","1574416640"," 571574420239-819292,","250.5"
"41","1574416640"," 7681574420237-4277804,","242.21"
"42","1574416640"," 5611574420238-3116133,","245.56"
"43","1574416640"," 8091574420239-9092884,","304.59"
"44","1574416640"," 9591574420238-4269984,","255.91"
"45","1574416641"," 4331574420237-253359,","289.48"
"46","1574416641"," 4471574420240-1968982,","259.58"
"47","1574416641"," 5091574420238-3221786,","224.26"
"48","1574416641"," 3561574420240-409267,","251.11"
"49","1574416641"," 3381574420240-7642956,","263.01"
"50","1574416641"," 8271574420240-7974808,","246.14"
"51","1574416641"," 9631574420240-9072876,","227.08"
"52","1574416642"," 7901574420238-3420067,","254.94"
"53","1574416642"," 6791574420241-1427636,","269.99"
"54","1574416642"," 9671574420241-3463852,","238.63"
"55","1574416642"," 5781574420241-3797603,","279.19"
"56","1574416642"," 3761574420241-7006474,","238.03"
"57","1574416642"," 2331574420241-7299595,","259.88"
"58","1574416642"," 6941574420241-778268,","233.82"
"59","1574416642"," 3731574420241-853657,","227.06"
"60","1574416642"," 2051574420241-9387372,","229.93"
"61","1574416642"," 3111574420241-5032742,","243.21"
"62","1574416642"," 8661574420241-9303868,","253.53"
"63","1574416643"," 4961574420242-012935,","258.06"
"64","1574416643"," 4241574420242-1859813,","299.13"
"65","1574416643"," 671574420241-9206986,","267.65"
"66","1574416643"," 8591574420241-662341,","285.55"
"67","1574416643"," 5621574420242-4558384,","251.37"
"68","1574416643"," 4421574420241-8601627,","243.7"
"69","1574416643"," 6651574420242-062182,","261.9"
"70","1574416643"," 9691574420242-1639252,","283.26"
"71","1574416644"," 9311574420242-4700372,","254.18"
"72","1574416644"," 961574420243-1025512,","274.42"
"73","1574416644"," 761574420243-4501693,","229.54"
"74","1574416644"," 8131574420243-499627,","230.22"
"75","1574416644"," 7131574420243-7025664,","298.78"
"76","1574416644"," 3101574420243-7708864,","268.61"
"77","1574416644"," 7891574420244-0078185,","233.87"
"78","1574416645"," 5281574420243-9982822,","230.62"
"79","1574416645"," 7271574420244-3758051,","245.08"
"80","1574416646"," 1921574420245-1311233,","257.4"
"81","1574416646"," 5811574420245-1382346,","265"
"82","1574416646"," 6361574420245-2030754,","244.66"
"83","1574416646"," 8251574420245-451611,","266.85"
"84","1574416646"," 3861574420245-5879354,","239.54"
"85","1574416646"," 8041574420245-5458062,","262.54"
"86","1574416646"," 6821574420244-619134,","250.1"
"87","1574416646"," 321574420245-6125417,","284.47"
"88","1574416647"," 8201574420245-825762,","265.59"
"89","1574416647"," 2411574420246-1471841,","256.37"
"90","1574416647"," 7381574420245-782857,","275.63"
"91","1574416647"," 8941574420245-419173,","272.67"
"92","1574416647"," 4731574420246-2727294,","452.21"
"93","1574416647"," 1231574420246-423266,","272.45"
"94","1574416647"," 7451574420245-8645706,","227.02"
"95","1574416648"," 5861574420246-5256827,","246.19"
"96","1574416648"," 8131574420246-2131634,","232.04"
"97","1574416648"," 9761574420247-566062,","240.37"
"98","1574416648"," 5151574420247-5724037,","246.78"
"99","1574416648"," 3361574420247-8515973,","244.8"
"100","1574416648"," 3191574420247-8659494,","248.16"
"101","1574416648"," 9211574420247-7440853,","451.36"
"102","1574416649"," 5301574420247-1748393,","284.5"
"103","1574416649"," 1101574420247-5589123,","262.34"
"104","1574416649"," 3871574420248-560049,","250.41"
"105","1574416649"," 8841574420248-480932,","275.93"
"106","1574416649"," 3701574420248-21889,","276.83"
"107","1574416649"," 7431574420248-3657928,","297.83"
"108","1574416649"," 6711574420248-8338943,","270.5"
"109","1574416649"," 521574420249-0275674,","221.89"
"110","1574416649"," 7581574420249-0393195,","223.45"
"111","1574416650"," 5741574420248-9083447,","481.1"
"112","1574416650"," 8681574420249-436209,","235.06"
"113","1574416650"," 3071574420249-5008066,","258.76"
"114","1574416650"," 171574420249-6606007,","278.34"
"115","1574416650"," 9441574420249-6344907,","232.58"
"116","1574416650"," 5351574420249-6843379,","264.25"
"117","1574416650"," 6861574420249-6947758,","239.25"
"118","1574416650"," 4591574420249-7469678,","260.47"
"119","1574416651"," 9591574420250-0259323,","243.04"
"120","1574416651"," 6421574420250-2279327,","237.24"
"121","1574416651"," 9101574420250-2477605,","252.18"
"122","1574416651"," 6131574420250-2679155,","288.65"
"123","1574416651"," 1221574420250-8259368,","249.58"
"124","1574416651"," 6121574420250-8868954,","241.7"
"125","1574416651"," 6261574420250-8549182,","249.75"
"126","1574416651"," 5231574420250-902767,","224.34"
"127","1574416652"," 1701574420250-8664691,","245.48"
"128","1574416652"," 9391574420250-94633,","290.97"
"129","1574416652"," 2951574420251-0521636,","240.04"
"130","1574416652"," 3041574420251-0045986,","268.1"
"131","1574416652"," 7801574420251-3606813,","258.43"
"132","1574416652"," 4151574420251-3010743,","289.38"
"133","1574416652"," 3121574420251-430668,","257.68"
"134","1574416652"," 4741574420251-4474378,","279.65"
"135","1574416652"," 7461574420250-931573,","225.72"
"136","1574416652"," 7931574420251-775487,","253.09"
"137","1574416653"," 7711574420252-093014,","228.71"
