"","TS","Job_ID","Duration"
"1","1575663019"," 2861575666614-636693,","761.79"
"2","1575663030"," 9861575666629-2796767,","166.71"
"3","1575663036"," 5711575666635-5783868,","175.88"
"4","1575663039"," 7781575666638-811983,","150.9"
"5","1575663046"," 381575666644-8163857,","147.95"
"6","1575663048"," 19791575666647-2235024,","159.27"
"7","1575663049"," 8841575666647-9959848,","161.7"
"8","1575663050"," 711575666649-0723267,","159.04"
"9","1575663053"," 5511575666652-0080473,","178.13"
"10","1575663057"," 8921575666656-0654862,","149.37"
"11","1575663061"," 21575666659-9119425,","154.06"
"12","1575663062"," 15011575666660-9796076,","169.1"
"13","1575663064"," 6061575666663-1704717,","164.65"
"14","1575663068"," 10871575666666-7009926,","178.78"
"15","1575663068"," 5601575666667-429422,","146.05"
"16","1575663069"," 19751575666668-0338879,","160.04"
"17","1575663075"," 2941575666674-4855447,","169.93"
"18","1575663077"," 15341575666675-9893363,","162.15"
"19","1575663082"," 731575666681-0064192,","179.09"
"20","1575663082"," 7711575666681-7667663,","145.99"
"21","1575663084"," 13241575666682-9460979,","175.26"
"22","1575663086"," 5611575666685-1604564,","164.58"
"23","1575663087"," 12141575666686-2287457,","158.17"
"24","1575663088"," 18081575666686-9398155,","158.88"
"25","1575663090"," 13231575666689-0432496,","177.58"
"26","1575663091"," 3331575666686-7647817,","848.3"
"27","1575663092"," 8491575666690-6279798,","132.81"
"28","1575663096"," 2171575666693-9379084,","177.22"
"29","1575663096"," 15571575666694-656093,","157.63"
"30","1575663099"," 421575666698-3781486,","165.84"
"31","1575663102"," 4071575666700-2589474,","185.27"
"32","1575663102"," 18251575666700-9936953,","154.69"
"33","1575663102"," 1601575666700-4524243,","155"
"34","1575663103"," 17041575666701-425004,","163.6"
"35","1575663106"," 9111575666705-1678708,","163.46"
"36","1575663106"," 8691575666705-6126776,","146.52"
"37","1575663106"," 2221575666705-6942377,","172.51"
"38","1575663107"," 6061575666706-5408614,","162.75"
"39","1575663108"," 2301575666706-8846233,","155.43"
"40","1575663111"," 7831575666709-9073226,","148.16"
"41","1575663113"," 4151575666712-3483763,","176.82"
"42","1575663115"," 15561575666713-8829198,","161.05"
"43","1575663116"," 15281575666714-527736,","147.93"
"44","1575663117"," 9851575666716-1751442,","147.4"
"45","1575663118"," 7781575666716-902275,","142.17"
"46","1575663118"," 1911575666717-731985,","156.19"
"47","1575663119"," 8111575666718-2085118,","173.17"
"48","1575663119"," 10741575666717-9519875,","186.33"
"49","1575663120"," 16911575666718-4237018,","146.27"
"50","1575663121"," 13811575666719-7682683,","147.27"
"51","1575663121"," 17011575666720-304054,","171.8"
"52","1575663122"," 1891575666721-0564854,","179.99"
"53","1575663123"," 14831575666721-451949,","161.95"
"54","1575663124"," 13821575666723-3414636,","155.66"
"55","1575663126"," 17131575666724-6786423,","154.26"
