"","TS","Job_ID","Duration"
"1","1574757061"," 4581574760655-6379354,","504.16"
"2","1574757065"," 3861574760656-9244134,","467.3"
"3","1574757065"," 7841574760656-8964071,","532.05"
"4","1574757065"," 14901574760654-8499336,","485.5"
"5","1574757065"," 14521574760656-3628125,","624.75"
"6","1574757065"," 9911574760654-9007516,","489.83"
"7","1574757065"," 4621574760656-9271934,","586.25"
"8","1574757065"," 3661574760656-929443,","519.76"
"9","1574757066"," 651574760664-5981445,","519.24"
"10","1574757066"," 16471574760663-098537,","500.68"
"11","1574757066"," 19591574760660-8198524,","774.54"
"12","1574757066"," 2591574760664-6027231,","508.1"
"13","1574757066"," 7111574760660-8332632,","512.58"
"14","1574757066"," 7271574760660-8370302,","484.42"
"15","1574757066"," 19981574760655-9026682,","494.49"
"16","1574757066"," 1521574760664-6104147,","520.81"
"17","1574757066"," 19731574760660-830901,","509.64"
"18","1574757067"," 11571574760665-326213,","536.44"
"19","1574757066"," 12661574760665-3053527,","542.96"
"20","1574757066"," 4451574760665-2973955,","531.68"
"21","1574757066"," 19811574760665-323805,","523.96"
"22","1574757067"," 2641574760664-5866213,","748.95"
"23","1574757067"," 13181574760665-3436441,","491.42"
"24","1574757067"," 5531574760664-2586296,","767.56"
"25","1574757067"," 5751574760665-3964653,","546.59"
"26","1574757067"," 7721574760665-39048,","524.82"
"27","1574757067"," 17851574760665-3512304,","647.79"
"28","1574757067"," 16601574760665-3382215,","512.555"
"29","1574757067"," 7871574760665-526065,","470.35"
"30","1574757067"," 5491574760665-386894,","736.15"
"31","1574757067"," 281574760665-327214,","536.44"
"32","1574757067"," 14551574760665-3318288,","512.555"
"33","1574757067"," 15621574760665-59977,","536.15"
"34","1574757067"," 12371574760665-713359,","518.51"
"35","1574757067"," 15841574760665-7275815,","511.06"
"36","1574757067"," 2221574760665-7414312,","474.44"
"37","1574757067"," 4301574760665-7448907,","517.46"
"38","1574757067"," 16231574760665-8025198,","504.13"
"39","1574757067"," 2411574760665-597705,","756.19"
"40","1574757068"," 14881574760665-8201106,","397.66"
"41","1574757067"," 10821574760665-82896,","491.87"
"42","1574757068"," 15121574760665-794911,","416.43"
"43","1574757069"," 17521574760665-8390088,","557.025"
"44","1574757067"," 3421574760665-707737,","719.15"
"45","1574757068"," 15561574760665-6419597,","680.62"
"46","1574757068"," 2811574760665-8921688,","538.06"
"47","1574757068"," 12411574760665-9052737,","560.65"
"48","1574757068"," 14231574760665-7599702,","397.66"
"49","1574757068"," 17591574760665-8211849,","416.43"
"50","1574757068"," 681574760665-909461,","527.24"
"51","1574757068"," 13101574760666-0256717,","402.05"
"52","1574757068"," 4031574760665-9912648,","424.365"
"53","1574757068"," 12891574760666-0160928,","541.96"
"54","1574757069"," 5831574760665-9853094,","365.02"
"55","1574757069"," 17751574760666-171899,","369.543333333333"
"56","1574757068"," 8051574760666-0886745,","515.73"
"57","1574757068"," 15751574760657-7192073,","680.62"
"58","1574757069"," 7731574760666-2159705,","430.65"
"59","1574757068"," 5091574760666-04349,","402.05"
"60","1574757068"," 18901574760666-006832,","424.365"
"61","1574757069"," 9591574760666-2359865,","391.3625"
"62","1574757069"," 11201574760666-0405035,","365.02"
"63","1574757068"," 1101574760664-6007512,","1720.9"
"64","1574757069"," 17161574760665-791521,","557.025"
"65","1574757069"," 7581574760666-1684997,","369.543333333333"
"66","1574757069"," 671574760666-3211231,","398.78"
"67","1574757070"," 8161574760666-1473086,","488.4125"
"68","1574757070"," 9081574760666-2250538,","426.89"
"69","1574757069"," 13741574760666-2479355,","430.65"
"70","1574757069"," 5151574760666-2399883,","391.3625"
"71","1574757069"," 8191574760666-5726383,","542.66"
"72","1574757069"," 11091574760666-0285313,","365.02"
"73","1574757069"," 10341574760666-5983772,","406.84"
"74","1574757070"," 9791574760666-3317106,","367.006"
"75","1574757069"," 7561574760666-5864732,","443.055"
"76","1574757069"," 5171574760666-1835635,","369.543333333333"
"77","1574757069"," 1501574760666-3662832,","398.78"
"78","1574757070"," 7121574760666-136702,","488.4125"
"79","1574757070"," 12271574760666-2748473,","426.89"
"80","1574757069"," 9111574760666-6812618,","403.8"
"81","1574757069"," 19991574760665-844748,","557.025"
"82","1574757069"," 9671574760666-0561783,","365.02"
"83","1574757069"," 18271574760666-6268213,","406.84"
"84","1574757069"," 9261574760666-2669868,","391.3625"
"85","1574757069"," 4501574760666-6153533,","443.055"
"86","1574757070"," 15431574760666-3820298,","367.006"
"87","1574757070"," 5621574760666-1142182,","488.4125"
"88","1574757070"," 6741574760667-2774978,","397.158"
"89","1574757069"," 14731574760665-864026,","1660.19"
"90","1574757069"," 1361574760665-8725483,","1002"
"91","1574757072"," 3801574760666-358219,","382.355"
"92","1574757070"," 8321574760666-2834177,","426.89"
"93","1574757069"," 13361574760665-861245,","1723.72"
"94","1574757069"," 13291574760666-963469,","403.8"
"95","1574757069"," 19451574760665-9125166,","979.31"
"96","1574757069"," 11751574760665-8531203,","557.025"
"97","1574757069"," 10631574760666-0555284,","365.02"
"98","1574757071"," 10591574760666-8484166,","393.47"
"99","1574757069"," 17551574760665-9228446,","1686.22"
"100","1574757069"," 17841574760665-9311495,","1678.24"
"101","1574757069"," 10951574760665-921259,","1718.05"
"102","1574757069"," 9801574760666-2729166,","391.3625"
"103","1574757070"," 11021574760666-4047318,","367.006"
"104","1574757069"," 10501574760665-929665,","1686.04"
"105","1574757070"," 17411574760666-6671479,","397.158"
"106","1574757071"," 13761574760666-7817185,","408.224"
"107","1574757070"," 18621574760668-0015347,","531.465"
"108","1574757072"," 10861574760666-342779,","382.355"
"109","1574757069"," 10771574760665-8879554,","1002"
"110","1574757070"," 7421574760668-5886002,","373.166666666667"
"111","1574757069"," 10031574760665-9176743,","979.31"
"112","1574757070"," 9581574760666-6953905,","382.76"
"113","1574757070"," 801574760666-0053172,","1804.06"
"114","1574757071"," 4981574760666-8984938,","393.47"
"115","1574757070"," 9041574760666-095421,","488.4125"
"116","1574757070"," 8371574760666-5675566,","367.006"
"117","1574757072"," 121574760665-976784,","669.52"
"118","1574757071"," 18551574760667-0695279,","408.224"
"119","1574757070"," 10151574760666-6758537,","397.158"
"120","1574757073"," 19231574760667-356595,","407.29"
"121","1574757072"," 3681574760666-5273275,","382.355"
"122","1574757071"," 14911574760667-985387,","448.818"
"123","1574757070"," 17931574760668-6754842,","373.166666666667"
"124","1574757070"," 7611574760666-2862854,","426.89"
"125","1574757071"," 14211574760668-6148791,","382.0425"
"126","1574757070"," 13211574760666-9925644,","382.76"
"127","1574757070"," 14671574760669-3579605,","416.645"
"128","1574757070"," 14201574760669-5149043,","369.376666666667"
"129","1574757070"," 18691574760668-2553782,","531.465"
"130","1574757070"," 10641574760666-6065154,","367.006"
"131","1574757070"," 4601574760667-0577798,","397.158"
"132","1574757071"," 17941574760667-212019,","408.224"
"133","1574757073"," 11841574760667-4408662,","407.29"
"134","1574757071"," 6761574760669-508233,","372.3275"
"135","1574757071"," 2791574760669-4838622,","396.14"
"136","1574757072"," 7301574760669-3695667,","454.8"
"137","1574757070"," 12871574760668-733844,","373.166666666667"
"138","1574757071"," 1001574760668-1945562,","448.818"
"139","1574757072"," 18411574760669-908256,","337.275714285714"
"140","1574757070"," 1151574760666-3711941,","426.89"
"141","1574757071"," 16941574760667-0725896,","393.47"
"142","1574757070"," 4591574760667-3531206,","382.76"
"143","1574757071"," 12091574760669-1830852,","353.02"
"144","1574757071"," 3471574760669-1032891,","382.0425"
"145","1574757073"," 13631574760668-5054686,","369.445"
"146","1574757070"," 10731574760669-4630387,","416.645"
"147","1574757072"," 7031574760666-016838,","669.52"
"148","1574757070"," 15191574760669-5605202,","369.376666666667"
"149","1574757071"," 3671574760667-3187222,","408.224"
"150","1574757073"," 851574760668-1890054,","407.29"
