"","TS","Job_ID","Duration"
"1","1575663025"," 4231575666608-3140278,","12474.28"
"2","1575663025"," 8851575666613-465231,","10068.29"
"3","1575663031"," 15511575666622-8837962,","6832.91"
"4","1575663032"," 17681575666621-203428,","9563.57"
"5","1575663035"," 19491575666629-6979496,","4447.61"
"6","1575663036"," 381575666624-6292107,","10263.86"
"7","1575663043"," 6761575666636-6225035,","5833.52"
"8","1575663044"," 7551575666634-2249947,","8891.15"
"9","1575663051"," 12431575666644-814559,","5159"
"10","1575663051"," 381575666644-8163857,","4809.77"
"11","1575663055"," 14371575666645-4370606,","8964.01"
"12","1575663057"," 17261575666643-6892915,","12447.53"
"13","1575663059"," 15911575666649-163368,","8910"
"14","1575663062"," 16351575666650-158623,","11000.21"
"15","1575663062"," 15551575666654-3485217,","6875.61"
"16","1575663062"," 14671575666650-5373938,","10349.38"
"17","1575663067"," 13151575666656-9922369,","8759.53"
"18","1575663068"," 4621575666653-4232216,","12948.7"
"19","1575663068"," 14001575666658-4259179,","8353.68"
"20","1575663074"," 15831575666665-0382125,","8367.3"
"21","1575663078"," 18871575666665-0536435,","11794.6"
"22","1575663079"," 6231575666671-605597,","6344.31"
"23","1575663079"," 7431575666672-555974,","6136.81"
"24","1575663081"," 6011575666674-0375845,","6362.72"
"25","1575663084"," 10501575666679-805504,","2911.56"
"26","1575663085"," 2571575666676-2032113,","8504.13"
"27","1575663092"," 15291575666684-7388706,","6199.35"
"28","1575663093"," 6171575666683-3978832,","8507.79"
"29","1575663093"," 2771575666685-40343,","6498.57"
"30","1575663094"," 8101575666689-5032954,","3884.57"
"31","1575663095"," 2661575666684-5938683,","9242.44"
"32","1575663097"," 4901575666685-8808148,","10720.31"
"33","1575663099"," 4731575666690-9392645,","6778.74"
"34","1575663099"," 13231575666689-0432496,","8284.99"
"35","1575663099"," 17751575666691-6458938,","6249.98"
"36","1575663101"," 19161575666691-9092662,","8409.45"
"37","1575663104"," 421575666698-3781486,","3906.91"
"38","1575663108"," 18021575666696-5729961,","10320.77"
"39","1575663108"," 16791575666696-7123332,","10531.56"
"40","1575663108"," 5671575666703-6696298,","3543.53"
"41","1575663109"," 9301575666703-1713006,","4751.18"
"42","1575663111"," 14901575666700-3419054,","9436.22"
"43","1575663113"," 14451575666706-7154157,","5673.67"
"44","1575663115"," 1611575666707-9042368,","6196.78"
"45","1575663117"," 8051575666709-483005,","6992.48"
"46","1575663126"," 4801575666722-840696,","2597.78"
"47","1575663127"," 18151575666713-0153644,","12716.36"
"48","1575663128"," 2931575666717-8282857,","9071.53"
"49","1575663134"," 6341575666727-0918643,","6324.2"
"50","1575663134"," 14161575666728-412486,","5154.62"
"51","1575663136"," 12811575666725-327481,","9790.76"
"52","1575663138"," 11001575666729-6533697,","7420.7"
"53","1575663139"," 2751575666730-1297097,","8308.79"
"54","1575663142"," 17721575666731-647707,","9011.21"
"55","1575663142"," 16241575666728-7735796,","12106.03"
"56","1575663144"," 19311575666738-0659637,","4519.19"
"57","1575663144"," 16341575666730-6298416,","12356"
"58","1575663144"," 15921575666733-2010286,","9861.22"
"59","1575663145"," 14931575666739-1326478,","4657.01"
"60","1575663151"," 13941575666741-3207803,","5623.46"
"61","1575663151"," 11771575666735-695305,","14217.6"
"62","1575663151"," 3101575666739-6681902,","10100.68"
"63","1575663152"," 19181575666742-0469172,","9292.34"
"64","1575663153"," 13291575666746-4076738,","4196.03"
"65","1575663154"," 10231575666739-4405203,","13343.17"
"66","1575663156"," 18621575666748-471622,","5806.61"
"67","1575663157"," 15061575666752-1354303,","3614.76"
"68","1575663157"," 11251575666751-7717302,","4419.72"
"69","1575663158"," 6581575666747-6532047,","9131.85"
"70","1575663159"," 11181575666747-3774076,","8913.11"
"71","1575663160"," 19271575666745-9751837,","12241.82"
"72","1575663161"," 6031575666746-9252272,","13000.96"
"73","1575663163"," 18661575666747-6087928,","12384.54"
"74","1575663164"," 16041575666752-8920286,","10025.49"
"75","1575663165"," 10371575666753-628385,","10617.03"
"76","1575663166"," 12531575666758-6992042,","6175.14"
"77","1575663173"," 3781575666765-9935403,","6556.44"
"78","1575663173"," 19281575666763-5503416,","8992.05"
"79","1575663178"," 6351575666771-0739987,","5701.46"
"80","1575663184"," 8511575666774-8620732,","7799.35"
"81","1575663184"," 4251575666771-3659241,","11485.02"
"82","1575663191"," 17641575666780-3986795,","9339"
"83","1575663191"," 10781575666780-448283,","9554.94"
"84","1575663192"," 19701575666780-9984286,","9653.9"
"85","1575663194"," 7771575666782-1348934,","10444.57"
"86","1575663196"," 10511575666782-8264432,","11926.15"
"87","1575663199"," 18111575666792-2944405,","5438.39"
"88","1575663200"," 19401575666793-488967,","4559.15"
"89","1575663207"," 16811575666798-6076815,","6153.53"
"90","1575663207"," 12451575666799-0063987,","7285.89"
"91","1575663208"," 19951575666801-6184576,","5238.58"
"92","1575663208"," 9411575666803-941979,","3339.1"
"93","1575663209"," 191575666797-76196,","9793.22"
"94","1575663209"," 17531575666800-834346,","6871.33"
"95","1575663215"," 15181575666807-5944495,","6118.35"
"96","1575663217"," 11751575666807-226332,","8658.3"
"97","1575663218"," 5091575666812-129863,","4525.05"
"98","1575663220"," 16591575666807-4143403,","11858.66"
"99","1575663224"," 17391575666814-7944543,","7879.45"
"100","1575663225"," 15891575666819-3958375,","4821.39"
"101","1575663231"," 13911575666819-3294961,","11168.69"
"102","1575663234"," 16841575666825-1520085,","7364.03"
"103","1575663235"," 8441575666823-982053,","10170.8"
"104","1575663237"," 2311575666828-9179835,","7354.31"
"105","1575663237"," 7921575666832-9126387,","3355.09"
"106","1575663239"," 9341575666830-2658744,","8245.08"
"107","1575663240"," 361575666830-413873,","8339.75"
"108","1575663241"," 1161575666827-152631,","12872.58"
"109","1575663242"," 2661575666834-8483388,","6167.24"
"110","1575663243"," 8731575666836-170013,","5054.78"
"111","1575663244"," 12011575666838-8063107,","4514.43"
"112","1575663248"," 14781575666840-6944447,","5220.95"
"113","1575663249"," 14861575666840-3225727,","7267.94"
"114","1575663250"," 16081575666842-0086367,","7241.62"
"115","1575663251"," 17751575666842-0138373,","8303.3"
"116","1575663253"," 12071575666844-48199,","6896.62"
"117","1575663253"," 17301575666844-3229997,","8019.69"
"118","1575663254"," 5721575666846-968381,","5740.38"
"119","1575663254"," 4731575666841-2100375,","11907.48"
"120","1575663257"," 4941575666847-6940184,","8551.7"
"121","1575663258"," 7721575666847-6729136,","9714.15"
"122","1575663258"," 12931575666847-9972224,","9309.47"
"123","1575663259"," 19991575666851-4924455,","6506.04"
"124","1575663264"," 10081575666859-104365,","3931.51"
"125","1575663264"," 5411575666860-0114632,","3159.11"
"126","1575663269"," 18961575666860-6703303,","6767.04"
"127","1575663272"," 14841575666867-2338395,","4207.91"
"128","1575663275"," 17111575666865-306448,","8872.85"
"129","1575663275"," 15071575666870-075973,","3431.59"
"130","1575663275"," 41575666862-1618543,","12213.14"
"131","1575663276"," 14631575666862-1099715,","12983.97"
"132","1575663283"," 16171575666869-810358,","11908.05"
"133","1575663283"," 19551575666869-7823048,","12700.16"
"134","1575663289"," 1071575666875-7420318,","12088.45"
"135","1575663294"," 15211575666886-4706047,","6622.72"
"136","1575663294"," 401575666885-5503461,","7550.59"
"137","1575663297"," 2521575666893-1617806,","2858.22"
"138","1575663299"," 9161575666890-9741683,","7249.95"
"139","1575663302"," 251575666888-5059922,","13063.73"
"140","1575663303"," 13431575666893-3662899,","9133.68"
"141","1575663307"," 16621575666893-3027134,","13241.53"
"142","1575663310"," 1431575666902-881761,","6612.94"
"143","1575663311"," 18651575666903-5864644,","5745.89"
"144","1575663311"," 4991575666899-791525,","10066.19"
"145","1575663320"," 19411575666909-385678,","9639.81"
"146","1575663321"," 2721575666910-7780435,","9583.08"
"147","1575663324"," 15681575666918-2930417,","4537.67"
"148","1575663325"," 14921575666918-318425,","5351.52"
"149","1575663327"," 4741575666919-1099744,","6901.68"
"150","1575663329"," 6751575666920-9580612,","7189.56"
"151","1575663329"," 17961575666921-0546873,","7037.78"
