"","TS","Job_ID","Duration"
"1","1574178802"," 3521574182401-4912934,","1635.53"
"2","1574178808"," 3651574182407-7921917,","278.52"
"3","1574178809"," 481574182408-5421808,","258.73"
"4","1574178823"," 2941574182422-4361305,","260.41"
"5","1574178833"," 541574182432-5082588,","243.99"
"6","1574178839"," 4311574182438-0453854,","246.59"
"7","1574178839"," 1031574182438-8007119,","281.38"
"8","1574178855"," 3071574182454-416665,","292.25"
"9","1574178862"," 1411574182461-1471915,","224.51"
"10","1574178871"," 2451574182469-403927,","259.62"
"11","1574178875"," 4581574182474-2484632,","286.23"
"12","1574178883"," 4761574182482-2368534,","256.82"
"13","1574178887"," 1101574182486-855814,","260.66"
"14","1574178890"," 3631574182489-445149,","492.45"
"15","1574178894"," 171574182493-6720965,","232.96"
"16","1574178902"," 1791574182500-8086226,","248.81"
"17","1574178903"," 3971574182502-7284713,","227.81"
"18","1574178904"," 2621574182502-916446,","249.11"
"19","1574178909"," 2411574182508-0951254,","279.8"
"20","1574178914"," 981574182513-2469966,","252.25"
"21","1574178915"," 4301574182514-0078866,","226.61"
"22","1574178916"," 281574182514-9226408,","259.9"
"23","1574178916"," 1631574182515-4436896,","249.41"
"24","1574178925"," 1331574182524-3833387,","245.6"
"25","1574178939"," 2581574182538-144027,","236.81"
"26","1574178939"," 4481574182538-18026,","270.97"
"27","1574178940"," 2961574182538-8352492,","265.34"
"28","1574178945"," 1271574182544-7229888,","244.43"
"29","1574178948"," 3651574182547-0154643,","253.16"
"30","1574178949"," 2481574182548-2611828,","244.96"
"31","1574178950"," 3751574182549-4441426,","235.38"
"32","1574178957"," 1251574182556-2442613,","250.48"
"33","1574178957"," 4781574182556-8311198,","247.56"
"34","1574178959"," 3651574182558-0579922,","251.3"
"35","1574178959"," 4471574182558-3880775,","227.38"
"36","1574178960"," 481574182558-8479674,","269.35"
"37","1574178965"," 4371574182564-409862,","256.62"
"38","1574178967"," 4401574182566-2457592,","256.53"
"39","1574178971"," 4551574182570-2138245,","241.82"
"40","1574178973"," 2941574182572-6846743,","261.39"
"41","1574178974"," 4571574182572-8175478,","292.64"
"42","1574178976"," 381574182575-114523,","293.92"
"43","1574178976"," 1541574182575-3853347,","261.07"
"44","1574178977"," 141574182576-3815832,","238.33"
"45","1574178980"," 1931574182579-226415,","251.79"
"46","1574178992"," 2191574182591-5085108,","267.09"
"47","1574179005"," 2631574182604-8477314,","233.89"
"48","1574179014"," 4421574182612-3057575,","246.27"
"49","1574179021"," 2451574182620-7071342,","239.84"
"50","1574179025"," 4581574182624-6455536,","283.25"
"51","1574179025"," 2811574182624-7766573,","267.38"
"52","1574179027"," 3691574182626-3960876,","282.47"
"53","1574179029"," 4841574182628-2189882,","257.73"
"54","1574179038"," 1101574182637-1234992,","231.78"
"55","1574179040"," 3631574182639-7024558,","317.71"
"56","1574179044"," 1071574182641-9622135,","255.26"
"57","1574179050"," 3121574182648-926427,","258.18"
"58","1574179056"," 1121574182655-7898242,","235.96"
"59","1574179059"," 2411574182658-4138749,","243.72"
"60","1574179078"," 1261574182676-7178848,","261.37"
"61","1574179081"," 4461574182680-2330627,","249.25"
"62","1574179089"," 2491574182688-2766864,","234.3"
"63","1574179092"," 2591574182690-3748047,","251.94"
"64","1574179096"," 1501574182694-2707107,","246.68"
"65","1574179097"," 1271574182694-9851065,","242.49"
"66","1574179099"," 2481574182698-6548116,","255.55"
"67","1574179109"," 3651574182708-34766,","228.73"
"68","1574179115"," 4371574182714-6740162,","295.24"
"69","1574179129"," 831574182728-811141,","246.42"
"70","1574179130"," 1931574182729-4547038,","265.41"
"71","1574179145"," 4911574182744-7795591,","268.36"
"72","1574179155"," 1491574182754-074567,","289.88"
"73","1574179156"," 2631574182755-1348567,","518.67"
"74","1574179161"," 2521574182759-1122108,","242.3"
"75","1574179166"," 1841574182765-0729694,","240.6"
"76","1574179168"," 1661574182767-1526904,","248"
"77","1574179169"," 2401574182768-5617251,","278.24"
"78","1574179169"," 2171574182768-877805,","285.15"
"79","1574179176"," 4731574182775-0650613,","262.91"
"80","1574179181"," 1201574182780-0059917,","241.68"
"81","1574179183"," 2801574182782-3545537,","234.43"
"82","1574179183"," 4761574182782-789608,","278.03"
"83","1574179191"," 3631574182789-9722142,","246.43"
"84","1574179191"," 691574182790-4657054,","244.64"
"85","1574179197"," 2591574182795-5176046,","230.6"
"86","1574179202"," 1791574182801-2731197,","246.46"
"87","1574179204"," 2621574182803-4135754,","234.61"
"88","1574179206"," 4711574182805-009664,","262.18"
"89","1574179207"," 2371574182806-79698,","260.8"
"90","1574179209"," 2411574182808-6591086,","258.13"
"91","1574179215"," 4301574182814-5455704,","239.77"
"92","1574179225"," 1331574182824-88067,","240"
"93","1574179227"," 581574182826-309875,","247.48"
"94","1574179229"," 1261574182827-3967733,","260.71"
"95","1574179246"," 1271574182845-8750367,","263.84"
"96","1574179251"," 3831574182850-6698558,","230.38"
"97","1574179253"," 3521574182852-3757017,","251.05"
"98","1574179255"," 3031574182854-0535727,","246.54"
"99","1574179259"," 3651574182858-5894213,","229.06"
"100","1574179260"," 481574182859-502991,","241.11"
"101","1574179264"," 2191574182862-8638463,","261.34"
"102","1574179265"," 2041574182863-9129498,","276.01"
"103","1574179271"," 3591574182870-6651912,","257"
"104","1574179280"," 2451574182878-7809958,","247.13"
"105","1574179284"," 541574182883-306856,","240.31"
"106","1574179290"," 4311574182888-807298,","248.85"
"107","1574179296"," 1241574182895-1138108,","258.15"
"108","1574179299"," 2521574182898-2335494,","246.97"
"109","1574179304"," 2221574182903-6537528,","234.67"
"110","1574179305"," 1491574182904-333808,","253.74"
"111","1574179319"," 2401574182918-8135548,","225.34"
"112","1574179322"," 2451574182921-2209396,","239.32"
"113","1574179326"," 4731574182925-3456044,","267.61"
"114","1574179330"," 3691574182928-990272,","264.66"
"115","1574179331"," 1201574182930-248699,","260.7"
"116","1574179334"," 4351574182933-0787191,","338.42"
"117","1574179342"," 691574182940-9098332,","286.14"
"118","1574179347"," 3901574182946-7181888,","290.88"
"119","1574179352"," 1791574182951-6979685,","274.77"
"120","1574179354"," 2621574182953-6645432,","270.12"
"121","1574179362"," 3341574182961-697872,","268.23"
"122","1574179365"," 981574182964-0284703,","276.2"
"123","1574179367"," 281574182965-7499738,","297.74"
"124","1574179369"," 2591574182968-200476,","247.02"
"125","1574179369"," 1631574182968-1953173,","270.09"
"126","1574179370"," 911574182968-2383654,","248.87"
"127","1574179374"," 1101574182972-6420968,","254.5"
"128","1574179376"," 91574182975-58351,","254.99"
"129","1574179379"," 1261574182978-6318674,","281.05"
"130","1574179381"," 2841574182979-9333384,","272.55"
