"","TS","N Execution"
"1",1574757061.532,288
"2",1574757076.532,213
"3",1574757091.532,199
"4",1574757106.532,202
"5",1574757121.532,226
"6",1574757136.532,219
"7",1574757151.532,239
"8",1574757166.532,209
"9",1574757181.532,207
"10",1574757196.532,147
"11",1574757211.532,302
"12",1574757226.532,228
"13",1574757241.532,211
"14",1574757256.532,212
"15",1574757271.532,239
"16",1574757286.532,225
"17",1574757301.532,238
"18",1574757316.532,201
"19",1574757331.532,213
"20",1574757346.532,158
"21",1574757361.532,298
"22",1574757376.532,234
"23",1574757391.532,204
"24",1574757406.532,224
"25",1574757421.532,238
"26",1574757436.532,217
"27",1574757451.532,215
"28",1574757466.532,224
"29",1574757481.532,215
"30",1574757496.532,150
"31",1574757511.532,290
"32",1574757526.532,224
"33",1574757541.532,213
"34",1574757556.532,212
"35",1574757571.532,231
"36",1574757586.532,216
"37",1574757601.532,188
"38",1574757616.532,257
"39",1574757631.532,219
"40",1574757646.532,151
"41",1574757661.532,69
"42",1574757676.532,454
"43",1574757691.532,208
"44",1574757706.532,229
"45",1574757721.532,52
