@timestamp,@message
2019-11-15 09:53:15.874,"REPORT RequestId: dd6450cb-d8a7-4aff-aa58-4a11aeeef7e0	Duration: 3003.23 ms	Billed Duration: 3000 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 182.66 ms	
"
2019-11-15 09:53:48.542,"JOB_ID 51573811625.600007, RequestId: f41437d2-c75b-4dfd-b78e-9f89d26e4334
"
2019-11-15 09:53:48.544,"REPORT RequestId: f41437d2-c75b-4dfd-b78e-9f89d26e4334	Duration: 2110.45 ms	Billed Duration: 2200 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
2019-11-15 09:53:49.956,"JOB_ID 11573811627.7310455, RequestId: 40f7b5f0-e25e-4a40-9cef-6fb6fc3303db
"
2019-11-15 09:53:49.957,"REPORT RequestId: 40f7b5f0-e25e-4a40-9cef-6fb6fc3303db	Duration: 1299.89 ms	Billed Duration: 1300 ms	Memory Size: 128 MB	Max Memory Used: 36 MB	
"
2019-11-15 09:53:51.295,"JOB_ID 51573811627.529486, RequestId: 08303755-7ead-4294-8cc4-a2418b90ecda
"
2019-11-15 09:53:51.337,"REPORT RequestId: 08303755-7ead-4294-8cc4-a2418b90ecda	Duration: 2498.46 ms	Billed Duration: 2500 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	Init Duration: 184.88 ms	
"
2019-11-15 09:53:55.006,"JOB_ID 21573811632.7769964, RequestId: 0862e7c8-685b-4490-bab4-0968262f7230
"
2019-11-15 09:53:55.008,"REPORT RequestId: 0862e7c8-685b-4490-bab4-0968262f7230	Duration: 1297.45 ms	Billed Duration: 1300 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:54:09.131,"JOB_ID 51573811645.7324147, RequestId: e69534b1-e14c-45b7-856e-b7f9e9000cd1
"
2019-11-15 09:54:09.157,"REPORT RequestId: e69534b1-e14c-45b7-856e-b7f9e9000cd1	Duration: 1352.15 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:54:11.817,"JOB_ID 51573811648.65778, RequestId: b8bd3ea5-3ecb-45e1-b3c5-46f0b2c6bcfe
"
