@timestamp,@message
2019-11-15 09:53:03.646,"JOB_ID 31573811577.7200093, RequestId: 9e4a4b2b-6795-4387-a1ab-dc5d842c4ca8
"
2019-11-15 09:53:03.723,"REPORT RequestId: 9e4a4b2b-6795-4387-a1ab-dc5d842c4ca8	Duration: 1343.30 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 181.56 ms	
"
2019-11-15 09:53:12.423,"REPORT RequestId: 59b80779-a50c-4dae-a9fc-01d4ae95740b	Duration: 523.94 ms	Billed Duration: 600 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:54:10.803,"REPORT RequestId: 92dfaf42-8f0c-4151-bfe6-7e051a984c4a	Duration: 498.01 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:54:32.483,"REPORT RequestId: 09e38d7f-d834-416f-981e-ba5fb7d8b007	Duration: 519.00 ms	Billed Duration: 600 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:55:01.043,"REPORT RequestId: 41094656-2133-4e66-b7c1-b40f58342b0a	Duration: 500.28 ms	Billed Duration: 600 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:55:02.024,"JOB_ID 11573811699.716169, RequestId: b2a9e9f3-a4d2-4878-9b52-4f370e7b87fd
"
2019-11-15 09:55:02.026,"REPORT RequestId: b2a9e9f3-a4d2-4878-9b52-4f370e7b87fd	Duration: 235.63 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 75 MB	
"
2019-11-15 09:55:02.276,"JOB_ID 31573811699.7091508, RequestId: ffbbcf38-530f-4a93-93b8-71cbf0300e62
"
2019-11-15 09:55:02.352,"REPORT RequestId: ffbbcf38-530f-4a93-93b8-71cbf0300e62	Duration: 1353.89 ms	Billed Duration: 1400 ms	Memory Size: 128 MB	Max Memory Used: 73 MB	Init Duration: 180.34 ms	
"
2019-11-15 09:56:28.954,"JOB_ID 11573811787.166685, RequestId: f76fc905-0935-4b0b-be91-c4a533d36549
"
2019-11-15 09:56:28.955,"REPORT RequestId: f76fc905-0935-4b0b-be91-c4a533d36549	Duration: 254.29 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 74 MB	
"
2019-11-15 09:57:01.453,"REPORT RequestId: 212d49ea-d37e-46c3-9012-584f04f3d474	Duration: 575.93 ms	Billed Duration: 600 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
2019-11-15 09:57:01.663,"REPORT RequestId: acc88966-0449-402f-b4df-4a645eee75e1	Duration: 525.72 ms	Billed Duration: 600 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
2019-11-15 09:57:15.483,"REPORT RequestId: a431e96f-b29c-44b8-a0b2-bae5ff5b2330	Duration: 435.88 ms	Billed Duration: 500 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
2019-11-15 09:57:38.264,"JOB_ID 31573811856.7867754, RequestId: 74429f7b-d676-40c7-b2e6-a0a51981884a
"
2019-11-15 09:57:38.303,"REPORT RequestId: 74429f7b-d676-40c7-b2e6-a0a51981884a	Duration: 261.57 ms	Billed Duration: 300 ms	Memory Size: 128 MB	Max Memory Used: 76 MB	
"
